Cultivo;Campaña;Semana;Zona;Siembra;CC_Malo (%);CC_Regular (%);CC_Normal (%);CC_Bueno (%);CC_Excelente (%);CH_Sequia (%);CH_Regular (%);CH_Adecuada (%);CH_Óptima (%);CH_Excesos (%);Expasión foliar (%);Panojamiento (%);Floración Femenina (%);Grano Pastoso (%);Madurez Fisiológica (%);Cosecha (%)
Maiz;2018/19;30;TOTAL;100;0.396993394;3.272.411.839;4.409.311.413;4.427.252.832;7.964.952.314;0;0.221057004;4.549.251.026;5.142.430.045;2.862.132.289;100;100;100;100;100;6.859.166.435
Maiz;2018/19;29;TOTAL;100;0.190751474;3.293.888.003;4.317.434.774;4.510.379.907;8.237.213.712;0;0.207997485;4.522.951.458;5.154.449.186;3.017.996.067;100;100;100;100;100;6.104.119.906
Maiz;2018/19;28;TOTAL;100;0.186521779;3.419.034.625;4.200.054.856;4.567.684.765;8.717.047.393;0;0.122801443;446.130.658;5.198.944.442;3.274.688.336;100;100;100;100;100;5.312.225.081
Maiz;2018/19;27;TOTAL;100;0.190788503;3.727.225.255;4.196.129.052;4.524.737.789;8.873.317.827;0;0.210488143;4.020.389.661;5.429.017.051;5.295.444.739;100;100;100;100;100;4.930.613.582
Maiz;2018/19;26;TOTAL;100;0.187382176;3.427.205.708;4.086.438.957;4.663.169.083;8.889.331.711;0;0.221796103;4.037.073.211;543.395.763;5.067.895.481;100;100;100;100;100;4.599.811.595
Maiz;2018/19;25;TOTAL;100;0.185668555;315.887.053;4.125.260.656;464.922.332;8.910.621.148;0;0.323087806;3.934.677.818;5.555.029.664;4.629.785.579;100;100;100;100;100;44.151.547
Maiz;2018/19;24;TOTAL;100;0.178413595;2.898.803.026;4.112.399.305;464.401.497;9.358.640.628;0;0.554663044;385.925.306;5.153.906.594;3.759.999.342;100;100;100;100;100;4.227.637.974
Maiz;2018/19;23;TOTAL;100;0.002627905;2.818.230.231;4.138.086.963;467.867.874;9.015.875.877;0.029076299;1.457.706.299;4.369.646.807;5.073.418.754;4.083.018.691;100;100;100;100;99;3.934.094.161
Maiz;2018/19;22;TOTAL;100;1.023.360.933;5.101.887.043;4.262.890.917;408.453.752;1.040.046.766;0;3.049.919.502;3.643.523.723;520.290.281;8.485.815.168;100;100;100;100;97;3.741.596.162
Maiz;2018/19;21;TOTAL;100;0.853275292;5.686.057.271;4.374.261.566;3.914.924.217;1.056.880.961;0;3.804.002.247;3.755.672.382;4.889.300.476;9.746.269.172;100;100;100;100;93;3.608.963.808
Maiz;2018/19;20;TOTAL;100;1.137.011.524;5.582.970.435;456.133.745;3.794.454.601;9.722.589.159;0.102982765;3.714.564.398;3.504.826.428;5.174.866.881;9.385.519.301;100;100;100;100;88;3.395.657.826
Maiz;2018/19;19;TOTAL;100;1.449.549.911;7.310.343.617;4.227.496.378;3.813.014.135;1.083.500.135;0.861186751;5.989.623.214;3.747.591.087;4.447.575.768;1.119.752.149;100;100;100;100;82;3.218.473.216
Maiz;2018/19;18;TOTAL;100;0.232737704;6.476.248.022;4.371.038.031;3.789.959.971;1.168.218.345;0.976035841;6.589.800.227;4.099.955.422;4.408.785.777;7.346.751.683;100;100;100;100;73;3.088.843.292
Maiz;2018/19;17;TOTAL;100;0.419406033;4.711.509.063;3.502.518.825;4.029.364.986;1.955.024.679;1.490.997.582;1.275.891.747;4.571.941.285;3.174.056.118;8.290.110.913;100;100;100;99;64;2.806.145.168
Maiz;2018/19;16;TOTAL;100;0.690731119;7.609.201.135;3.656.720.798;3.997.585.727;151.570.025;0.690807035;1.353.638.265;5.190.153.017;3.225.943.246;1.611.847.684;100;100;100;99;50;2.330.610.053
Maiz;2018/19;15;TOTAL;100;1.264.592.226;8.860.203.342;372.813.723;3.957.995.395;1.301.387.818;1.198.644.182;1.809.875.452;5.015.310.446;2.869.285.818;1.902.903.294;100;100;100;97;44;2.123.652.987
Maiz;2018/19;14;TOTAL;100;1.874.517.772;8.215.430.332;3.658.566.173;3.908.445.951;1.423.993.066;1.161.212.808;1.474.618.851;4.902.064.816;305.340.713;453.787.922;100;100;99;95;39;172.247.951
Maiz;2018/19;13;TOTAL;100;105.655.782;8.311.068.501;3.714.198.226;3.941.647.721;140.739.142;0.794377528;1.550.443.654;5.634.841.389;2.683.861.082;0.514161224;100;99;98;87;36;1.223.975.567
Maiz;2018/19;12;TOTAL;100;1.175.363.994;8.034.262.746;3.546.775.589;4.021.024.099;1.511.237.638;0.444269111;1.045.009.811;4.618.078.663;4.008.137.226;2.843.473.897;100;98;97;79;34;8.461.850.965
Maiz;2018/19;11;TOTAL;100;1.400.741.379;7.945.568.966;3.436.693.103;4.120.874.138;1.507.801.724;1.662.586.207;1.160.303.448;4.601.688.793;3.808.100.862;2.636.482.759;100;97;94;67;32;6.417.940.085
Maiz;2018/19;10;TOTAL;100;1.132.862.069;8.391.077.586;3.505.816.379;4.138.388.793;1.403.400.862;0.297413793;1.344.283.621;5.818.082.759;254.072.069;2.671.715.517;100;93;88;56;29;4.120.972.967
Maiz;2018/19;9;TOTAL;100;1.350.077.586;8.546.094.828;3.430.164.655;4.181.075;1.400.050.862;3.103.344.828;2.077.953.448;4.877.949.138;2.540.243.966;1.935.189.655;100;86;75;45;24;0
