"Fecha";"Mercado";"Producto";"Precio"
"04-04-05";"Buenos Aires";"Maiz";"U$S 64.06"
"05-04-05";"Buenos Aires";"Maiz";"U$S 61.66"
"11-04-05";"Buenos Aires";"Maiz";"U$S 64.01"
"12-04-05";"Buenos Aires";"Maiz";"U$S 65.4"
"13-04-05";"Buenos Aires";"Maiz";"U$S 64.26"
"14-04-05";"Buenos Aires";"Maiz";"U$S 66.44"
"15-04-05";"Buenos Aires";"Maiz";"U$S 65.52"
"19-04-05";"Buenos Aires";"Maiz";"U$S 65.47"
"25-04-05";"Buenos Aires";"Maiz";"U$S 66.87"
"26-04-05";"Buenos Aires";"Maiz";"U$S 65.59"
"27-04-05";"Buenos Aires";"Maiz";"U$S 66.9"
"28-04-05";"Buenos Aires";"Maiz";"U$S 63.6"
"02-05-05";"Buenos Aires";"Maiz";"U$S 63.79"
"03-05-05";"Buenos Aires";"Maiz";"U$S 63.86"
"05-05-05";"Buenos Aires";"Maiz";"U$S 65.59"
"11-05-05";"Buenos Aires";"Maiz";"U$S 65.61"
"12-05-05";"Buenos Aires";"Maiz";"U$S 63.93"
"13-05-05";"Buenos Aires";"Maiz";"U$S 63.93"
"16-05-05";"Buenos Aires";"Maiz";"U$S 65.88"
"17-05-05";"Buenos Aires";"Maiz";"U$S 66.47"
"18-05-05";"Buenos Aires";"Maiz";"U$S 68.12"
"19-05-05";"Buenos Aires";"Maiz";"U$S 67.59"
"20-05-05";"Buenos Aires";"Maiz";"U$S 67.27"
"23-05-05";"Buenos Aires";"Maiz";"U$S 69.13"
"24-05-05";"Buenos Aires";"Maiz";"U$S 68.85"
"26-05-05";"Buenos Aires";"Maiz";"U$S 68.87"
"27-05-05";"Buenos Aires";"Maiz";"U$S 67.59"
"30-05-05";"Buenos Aires";"Maiz";"U$S 66.57"
"31-05-05";"Buenos Aires";"Maiz";"U$S 68.37"
"01-06-05";"Buenos Aires";"Maiz";"U$S 68.61"
"02-06-05";"Buenos Aires";"Maiz";"U$S 65.86"
"03-06-05";"Buenos Aires";"Maiz";"U$S 66.69"
"06-06-05";"Buenos Aires";"Maiz";"U$S 68.05"
"07-06-05";"Buenos Aires";"Maiz";"U$S 67.38"
"08-06-05";"Buenos Aires";"Maiz";"U$S 66.3"
"09-06-05";"Buenos Aires";"Maiz";"U$S 66.67"
"10-06-05";"Buenos Aires";"Maiz";"U$S 65.7"
"13-06-05";"Buenos Aires";"Maiz";"U$S 67.71"
"14-06-05";"Buenos Aires";"Maiz";"U$S 68.57"
"15-06-05";"Buenos Aires";"Maiz";"U$S 70.88"
"16-06-05";"Buenos Aires";"Maiz";"U$S 70.98"
"17-06-05";"Buenos Aires";"Maiz";"U$S 72.67"
"21-06-05";"Buenos Aires";"Maiz";"U$S 72.15"
"22-06-05";"Buenos Aires";"Maiz";"U$S 72.44"
"23-06-05";"Buenos Aires";"Maiz";"U$S 71.38"
"24-06-05";"Buenos Aires";"Maiz";"U$S 72.92"
"27-06-05";"Buenos Aires";"Maiz";"U$S 68.54"
"28-06-05";"Buenos Aires";"Maiz";"U$S 69.11"
"29-06-05";"Buenos Aires";"Maiz";"U$S 69.78"
"04-07-05";"Buenos Aires";"Maiz";"U$S 71.06"
"05-07-05";"Buenos Aires";"Maiz";"U$S 77.13"
"06-07-05";"Buenos Aires";"Maiz";"U$S 77.47"
"07-07-05";"Buenos Aires";"Maiz";"U$S 78.01"
"08-07-05";"Buenos Aires";"Maiz";"U$S 74.73"
"11-07-05";"Buenos Aires";"Maiz";"U$S 76.01"
"12-07-05";"Buenos Aires";"Maiz";"U$S 76.58"
"14-07-05";"Buenos Aires";"Maiz";"U$S 81.95"
"15-07-05";"Buenos Aires";"Maiz";"U$S 81.56"
"18-07-05";"Buenos Aires";"Maiz";"U$S 83.52"
"20-07-05";"Buenos Aires";"Maiz";"U$S 78.62"
"21-07-05";"Buenos Aires";"Maiz";"U$S 76.9"
"22-07-05";"Buenos Aires";"Maiz";"U$S 76.84"
"25-07-05";"Buenos Aires";"Maiz";"U$S 75.68"
"26-07-05";"Buenos Aires";"Maiz";"U$S 77.57"
"27-07-05";"Buenos Aires";"Maiz";"U$S 78.08"
"01-08-05";"Buenos Aires";"Maiz";"U$S 79.37"
"08-08-05";"Buenos Aires";"Maiz";"U$S 79.47"
"09-08-05";"Buenos Aires";"Maiz";"U$S 79.01"
"10-08-05";"Buenos Aires";"Maiz";"U$S 79.13"
"11-08-05";"Buenos Aires";"Maiz";"U$S 79.39"
"12-08-05";"Buenos Aires";"Maiz";"U$S 77"
"16-08-05";"Buenos Aires";"Maiz";"U$S 72.84"
"22-08-05";"Buenos Aires";"Maiz";"U$S 74.99"
"23-08-05";"Buenos Aires";"Maiz";"U$S 73.93"
"25-08-05";"Buenos Aires";"Maiz";"U$S 73.62"
"26-08-05";"Buenos Aires";"Maiz";"U$S 73.22"
"29-08-05";"Buenos Aires";"Maiz";"U$S 74.49"
"31-08-05";"Buenos Aires";"Maiz";"U$S 74.89"
"01-09-05";"Buenos Aires";"Maiz";"U$S 76.63"
"02-09-05";"Buenos Aires";"Maiz";"U$S 74.91"
"05-09-05";"Buenos Aires";"Maiz";"U$S 74.3"
"07-09-05";"Buenos Aires";"Maiz";"U$S 75.04"
"08-09-05";"Buenos Aires";"Maiz";"U$S 75.76"
"09-09-05";"Buenos Aires";"Maiz";"U$S 77.29"
"12-09-05";"Buenos Aires";"Maiz";"U$S 75.42"
"14-09-05";"Buenos Aires";"Maiz";"U$S 72.97"
"15-09-05";"Buenos Aires";"Maiz";"U$S 72.07"
"19-09-05";"Buenos Aires";"Maiz";"U$S 72.83"
"20-09-05";"Buenos Aires";"Maiz";"U$S 72.75"
"28-09-05";"Buenos Aires";"Maiz";"U$S 71.7"
"29-09-05";"Buenos Aires";"Maiz";"U$S 71.01"
"30-09-05";"Buenos Aires";"Maiz";"U$S 72.16"
"03-10-05";"Buenos Aires";"Maiz";"U$S 73.22"
"05-10-05";"Buenos Aires";"Maiz";"U$S 73.55"
"07-10-05";"Buenos Aires";"Maiz";"U$S 72.63"
"11-10-05";"Buenos Aires";"Maiz";"U$S 74.48"
"12-10-05";"Buenos Aires";"Maiz";"U$S 74.2"
